24	9	220	619	6	0	1	0	255	1	0	0	0
60	9	588	20138	1	0	1	0	31	0.12	0.37	0.37	0
41	1	0	0	101	0	0.01	0.07	1	0	0.06	0	1
20	5	0	0	18	1	0.22	0.22	56	0.24	0.04	0.98	1
24	9	224	26956	20	0	1	0	255	1	0	0	0
14	9	8	0	1	0	1	0	79	1	0	0	1
24	9	340	880	5	0	1	0	255	1	0	0	0
49	5	0	0	132	1	0.04	0.06	5	0.02	0.08	1	1
20	9	59	0	11	0	1	0	68	0.52	0.12	0	0
67	5	0	0	117	1	0.15	0.05	9	0.04	0.07	1	1
49	5	0	0	167	1	0.06	0.06	19	0.07	0.06	1	1
24	9	244	2353	33	0	1	0	255	1	0	0	0
14	9	18	0	1	0	1	0	235	1	0	0	1
49	9	28	0	7	0	1	0	7	0.03	0.02	0	1
35	5	0	0	221	1	0.07	0.06	17	0.07	0.08	1	1
24	9	311	4412	3	0	1	0	255	1	0	0	0
24	9	230	1856	13	0	1	0	255	1	0	0	0
24	9	351	1259	9	0	1	0	216	1	0	0	0
24	9	273	244	3	0	1	0	255	1	0	0	0
